year,state,med_income
2018,Alabama,31962
2018,Alaska,40334
2018,Arizona,34397
2018,Arkansas,30818
2018,California,39549
2018,Colorado,40646
2018,Connecticut,42196
2018,Delaware,37430
2018,District of Columbia,61960
2018,Florida,31876
2018,Georgia,35019
2018,Hawaii,40240
2018,Idaho,31111
2018,Illinois,39055
2018,Indiana,33756
2018,Iowa,35837
2018,Kansas,35266
2018,Kentucky,32189
2018,Louisiana,32102
2018,Maine,35231
2018,Maryland,45891
2018,Massachusetts,45737
2018,Michigan,33328
2018,Minnesota,40977
2018,Mississippi,29341
2018,Missouri,34558
2018,Montana,31313
2018,Nebraska,36077
2018,Nevada,35526
2018,New Hampshire,40984
2018,New Jersey,45513
2018,New Mexico,30276
2018,New York,41492
2018,North Carolina,33205
2018,North Dakota,37398
2018,Ohio,34852
2018,Oklahoma,32323
2018,Oregon,35643
2018,Pennsylvania,37000
2018,Rhode Island,39145
2018,South Carolina,32373
2018,South Dakota,32908
2018,Tennessee,32604
2018,Texas,35329
2018,Utah,33396
2018,Vermont,35474
2018,Virginia,40405
2018,Washington,41735
2018,West Virginia,30970
2018,Wisconsin,37044
2018,Wyoming,34780
2018,Puerto Rico,17101
2019,Alabama,31962
2019,Alaska,40334
2019,Arizona,34397
2019,Arkansas,30818
2019,California,39549
2019,Colorado,40646
2019,Connecticut,42196
2019,Delaware,37430
2019,District of Columbia,61960
2019,Florida,31876
2019,Georgia,35019
2019,Hawaii,40240
2019,Idaho,31111
2019,Illinois,39055
2019,Indiana,33756
2019,Iowa,35837
2019,Kansas,35266
2019,Kentucky,32189
2019,Louisiana,32102
2019,Maine,35231
2019,Maryland,45891
2019,Massachusetts,45737
2019,Michigan,33328
2019,Minnesota,40977
2019,Mississippi,29341
2019,Missouri,34558
2019,Montana,31313
2019,Nebraska,36077
2019,Nevada,35526
2019,New Hampshire,40984
2019,New Jersey,45513
2019,New Mexico,30276
2019,New York,41492
2019,North Carolina,33205
2019,North Dakota,37398
2019,Ohio,34852
2019,Oklahoma,32323
2019,Oregon,35643
2019,Pennsylvania,37000
2019,Rhode Island,39145
2019,South Carolina,32373
2019,South Dakota,32908
2019,Tennessee,32604
2019,Texas,35329
2019,Utah,33396
2019,Vermont,35474
2019,Virginia,40405
2019,Washington,41735
2019,West Virginia,30970
2019,Wisconsin,37044
2019,Wyoming,34780
2019,Puerto Rico,17101
2020,Alabama,32080
2020,Alaska,40471
2020,Arizona,34302
2020,Arkansas,31343
2020,California,38176
2020,Colorado,39394
2020,Connecticut,42996
2020,Delaware,37369
2020,District of Columbia,59677
2020,Florida,32098
2020,Georgia,34603
2020,Hawaii,39448
2020,Idaho,30843
2020,Illinois,38645
2020,Indiana,34065
2020,Iowa,35457
2020,Kansas,34481
2020,Kentucky,32148
2020,Louisiana,32723
2020,Maine,34238
2020,Maryland,45841
2020,Massachusetts,44845
2020,Michigan,33534
2020,Minnesota,40505
2020,Mississippi,30484
2020,Missouri,33811
2020,Montana,31067
2020,Nebraska,35283
2020,Nevada,34822
2020,New Hampshire,40797
2020,New Jersey,44780
2020,New Mexico,30357
2020,New York,41119
2020,North Carolina,33219
2020,North Dakota,38165
2020,Ohio,34649
2020,Oklahoma,32256
2020,Oregon,35166
2020,Pennsylvania,36987
2020,Rhode Island,39410
2020,South Carolina,31942
2020,South Dakota,33511
2020,Tennessee,32742
2020,Texas,35003
2020,Utah,33419
2020,Vermont,35246
2020,Virginia,40573
2020,Washington,41498
2020,West Virginia,31199
2020,Wisconsin,36540
2020,Wyoming,35388
2020,Puerto Rico,17422
2021,Alabama,34925
2021,Alaska,41962
2021,Arizona,39023
2021,Arkansas,33869
2021,California,41891
2021,Colorado,44818
2021,Connecticut,45511
2021,Delaware,41374
2021,District of Columbia,72457
2021,Florida,35997
2021,Georgia,37512
2021,Hawaii,40595
2021,Idaho,34941
2021,Illinois,41504
2021,Indiana,37998
2021,Iowa,39068
2021,Kansas,38071
2021,Kentucky,34928
2021,Louisiana,34896
2021,Maine,39725
2021,Maryland,50548
2021,Massachusetts,50683
2021,Michigan,37258
2021,Minnesota,43853
2021,Mississippi,32242
2021,Missouri,37083
2021,Montana,35272
2021,Nebraska,38898
2021,Nevada,37052
2021,New Hampshire,45677
2021,New Jersey,50021
2021,New Mexico,34133
2021,New York,43462
2021,North Carolina,37218
2021,North Dakota,39438
2021,Ohio,38214
2021,Oklahoma,34460
2021,Oregon,40063
2021,Pennsylvania,40983
2021,Rhode Island,41891
2021,South Carolina,35987
2021,South Dakota,37149
2021,Tennessee,36663
2021,Texas,38059
2021,Utah,37325
2021,Vermont,40249
2021,Virginia,43963
2021,Washington,46951
2021,West Virginia,33739
2021,Wisconsin,40678
2021,Wyoming,35613
2021,Puerto Rico,17843
