state,online,in_person
Alabama,0,0
Alaska,0,0
Arizona,1,1
Arkansas,1,1
California,0,0
Colorado,1,1
Connecticut,1,1
Delaware,0,1
Florida,0,0
Georgia,0,0
Hawaii,0,0
Idaho,0,0
Illinois,1,1
Indiana,1,1
Iowa,1,1
Kansas,1,1
Kentucky,0,0
Louisiana,1,1
Maine,0,0
Maryland,1,1
Massachusetts,0,0
Michigan,1,1
Minnesota,0,0
Mississippi,0,1
Missouri,0,0
Montana,0,1
Nebraska,0,0
Nevada,1,1
New Hampshire,1,1
New Jersey,1,1
New Mexico,0,1
New York,1,1
North Carolina,0,1
North Dakota,0,1
Ohio,1,1
Oklahoma,0,0
Oregon,1,1
Pennsylvania,1,1
Rhode Island,1,1
South Carolina,0,0
South Dakota,0,1
Tennessee,1,0
Texas,0,0
Utah,0,0
Vermont,0,0
Virginia,1,1
Washington,0,1
Washington D.C.,1,1
West Virginia,1,1
Wisconsin,0,1
Wyoming,1,0
